event seq1 seq2 seq2_type site
MUT 11 NA NA 6
MUT 11 NA NA 7
MUT 11 NA NA 8
MUT 1 NA NA 10
MUT 11 NA NA 14
MUT 5 NA NA 15
MUT 11 NA NA 21
MUT 11 NA NA 25
MUT 4 NA NA 39
MUT 4 NA NA 40
MUT 3 NA NA 41
MUT 6 NA NA 42
MUT 3 NA NA 43
COAL 8 9 NA NA
COAL 8 10 NA NA
MUT 8 NA NA 13
MUT 8 NA NA 38
REC 4 12 suf 18
COAL 3 12 NA NA
REC 1 13 suf 10
COAL 2 13 NA NA
MUT 2 NA NA 19
MUT 2 NA NA 20
MUT 2 NA NA 22
MUT 2 NA NA 23
MUT 2 NA NA 24
MUT 2 NA NA 26
MUT 2 NA NA 27
MUT 2 NA NA 28
MUT 2 NA NA 29
REC 2 14 suf 36
COAL 3 14 NA NA
MUT 3 NA NA 37
REC 3 15 suf 35
COAL 6 15 NA NA
MUT 6 NA NA 36
REC 5 16 suf 16
COAL 4 16 NA NA
MUT 4 NA NA 17
MUT 4 NA NA 18
COAL 3 4 NA NA
REC 3 17 pre 8
COAL 1 17 NA NA
COAL 2 3 NA NA
MUT 2 NA NA 16
MUT 2 NA NA 31
MUT 2 NA NA 33
MUT 2 NA NA 35
COAL 2 6 NA NA
MUT 2 NA NA 30
MUT 2 NA NA 32
MUT 2 NA NA 34
COAL 2 7 NA NA
MUT 2 NA NA 9
REC 5 18 pre 3
COAL 1 18 NA NA
MUT 1 NA NA 3
COAL 2 1 NA NA
COAL 5 8 NA NA
MUT 2 NA NA 1
MUT 2 NA NA 2
MUT 2 NA NA 4
MUT 2 NA NA 5
MUT 5 NA NA 11
MUT 5 NA NA 12
COAL 2 5 NA NA
COAL 2 11 NA NA
